order	family	scientificName
	Veneridae	Saxidomus nuttallii
	Tellinidae	Macoma indentata
	Psammobiidae	Nuttallia nuttallii
	Pharidae	Machaera patula
	Solenidae	Solen rostriformis
	Mopaliidae	Katharina tunicata
	Tellinidae	Tellina modesta
	Veneridae	Antigona fordii
	Semelidae	Semele decisa
	Psammobiidae	Sanguinolaria nuttalli
	Pharidae	Siliqua lucida
	Mytilidae	Modiolus diegensis
	Mytilidae	Modiolus fornicatus
	Nassariidae	Nassarius perpinguis
	Nassariidae	Nassarius mendicus
	Muricidae	Acanthinucella punctulata
	Lamellariidae	Lamellaria rhombica
	Lamellariidae	Lamellaria stearnsii
	Littorinidae	Lacuna?
	Pseudomelatomidae	Pseudomelatoma torosa
	Cerithiidae	Bittium eschrichtii montereyense
	Lottiidae	Lottia digitalis
	Columbellidae	Mitrella tuberosa
	Cerithiidae	Bittium eschrichtii
	Columbellidae	Mitrella
	Barleeidae	Barleeia
		Calliostoma costatum
	Trochidae	Tegula
	Trochidae	Tegula?
	Littorinidae	Lacuna
	Ischnochitonidae	Nuttallina californica
	Helminthoglyptidae	Helminthoglypta mohaveana
Pulmonata	Helicidae	Helix fedelii
		Omphalotropis pernersa
Pulmonata	Polygyridae	Vespericola pinicola
	Naticidae	Natica lewisi
	Haliotididae	Haliotis
		Anjulus gouldi?
Unionoida	Unionidae	Lampsilis teres
	Ischnochitonidae	Stenoplax conspicua
	Haliotididae	Haliotis walallensis
	Haliotididae	Haliotis fulgens
	Acmaeidae	Acmaea patina?
	Lottiidae	Lottia gigantea
	Acmaeidae	Acmaea patina
	Calliostomatidae	Calliostoma annulatum
	Acmaeidae	Tectura scutum
	Acmaeidae	Acmaea ochracea
	Acmaeidae	Acmaea
	Calliostomatidae	Calliostoma ligatum
	Polymorphidae	Profilicollis altmani
	Asteriidae	Pisaster
	Mactridae	Tresus nuttallii
	Myidae	Mya arenaria
	Solecurtidae	Tagelus californianus
	Calliostomatidae	Calliostoma gloriosum
	Lottiidae	Collisella digitalis
	Calyptraeidae	Crepidula fornicata
	Mytilidae	Mytilus edulis
	Ostreidae	Ostrea lurida
